web-scraper-order,web-scraper-start-url,author,title,date,content,rating,next,next-href
1586608867-11395,https://www.amazon.in/Test-Exclusive-747/product-reviews/B07DJCVTDN/ref=?ie=UTF8&filterByStar=five_star&reviewerType=all_reviews,Amazon Customer,Once a Oneplus always a Oneplus,Reviewed in India on 10 March 2020,I was always happy using Oneplus from the 3T onwards. Happyness and satisfaction continues...,5.0 out of 5 stars,Next page→,https://www.amazon.in/Test-Exclusive-747/product-reviews/B07DJCVTDN/ref=cm_cr_arp_d_paging_btm_164?ie=UTF8&filterByStar=five_star&pageNumber=164&reviewerType=all_reviews
1586624051-30041,https://www.amazon.in/Test-Exclusive-608/product-reviews/B07HGBMJT6/ref=?ie=UTF8&reviewerType=all_reviews&filterByStar=one_star,Amazon Customer,I feel it's overrated. Not actually worth it. The only good thing is oxygen OS,Reviewed in India on 8 January 2020,"This is based on my personal experience having used all types and brands of mobiles. I know it gives good ram and memory. But Samsung's phones with exynos chip that cost the same or lesser, give somewhat same performance despite less ram. This phone sometimes lags. And everything actually is a compromise from gallery system to music, alarm clock, ease of use.
No single hand mode, no proper controls for videos, multi window not that good, sometimes alarm doesnt ring, typing is a bit difficult. The only advantage might be that it will not get slow for years coz of ram n chipset. Moreover there is least support for OP 7. If u search for anything related to it, it will mostly show things for OP 7t/pro",1.0 out of 5 stars,Next page→,https://www.amazon.in/Test-Exclusive-608/product-reviews/B07HGBMJT6/ref=cm_cr_arp_d_paging_btm_6?ie=UTF8&filterByStar=one_star&pageNumber=6&reviewerType=all_reviews
1586607870-9319,https://www.amazon.in/Test-Exclusive-747/product-reviews/B07DJCVTDN/ref=?ie=UTF8&filterByStar=four_star&reviewerType=all_reviews,Y.Anil kumar,7t the best,Reviewed in India on 17 December 2019,I like,4.0 out of 5 stars,Next page→,https://www.amazon.in/Test-Exclusive-747/product-reviews/B07DJCVTDN/ref=cm_cr_arp_d_paging_btm_158?ie=UTF8&filterByStar=four_star&pageNumber=158&reviewerType=all_reviews
1586611389-16121,https://www.amazon.in/Test-Exclusive-747/product-reviews/B07DJCVTDN/ref=?ie=UTF8&filterByStar=two_star&reviewerType=all_reviews,Eswar,Heating issue,Reviewed in India on 2 November 2019,U better go iphone xr,2.0 out of 5 stars,Next page→,https://www.amazon.in/Test-Exclusive-747/product-reviews/B07DJCVTDN/ref=cm_cr_arp_d_paging_btm_14?ie=UTF8&filterByStar=two_star&pageNumber=14&reviewerType=all_reviews
1586596356-3760,https://www.amazon.in/Test-Exclusive-606/product-reviews/B07HGJK535/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Ravi Madrecha,Not good phone,Reviewed in India on 17 July 2019,Pathetic...it’s overheating...,1.0 out of 5 stars,Next page→,https://www.amazon.in/Test-Exclusive-606/product-reviews/B07HGJK535/ref=cm_cr_arp_d_paging_btm_265?ie=UTF8&pageNumber=265&reviewerType=all_reviews
1586609652-14277,https://www.amazon.in/Test-Exclusive-747/product-reviews/B07DJCVTDN/ref=?ie=UTF8&filterByStar=five_star&reviewerType=all_reviews,Subhankar,The beast 💪,Reviewed in India on 7 October 2019,The best ever phone I used ...no comparison with others...,5.0 out of 5 stars,Next page→,https://www.amazon.in/Test-Exclusive-747/product-reviews/B07DJCVTDN/ref=cm_cr_arp_d_paging_btm_452?ie=UTF8&filterByStar=five_star&pageNumber=452&reviewerType=all_reviews
1586622530-26783,https://www.amazon.in/Test-Exclusive-611/product-reviews/B07HGMLBW1/ref=cm_cr_arp_d_show_all?ie=UTF8&reviewerType=all_reviews,Jaimeen,Go for it if that your budget! No second thoughts required!,Reviewed in India on 7 October 2019,"Phone is working really good, amazing gaming experience and really handy for most of the day to day stuff. Camera is a bit of a not upto expectations but does the job. Volume pretty classy. Over all, paisa vasul phone hai boss!!",5.0 out of 5 stars,Next page→,https://www.amazon.in/Test-Exclusive-611/product-reviews/B07HGMLBW1/ref=cm_cr_arp_d_paging_btm_42?ie=UTF8&pageNumber=42&reviewerType=all_reviews
1586609490-13665,https://www.amazon.in/Test-Exclusive-747/product-reviews/B07DJCVTDN/ref=?ie=UTF8&filterByStar=five_star&reviewerType=all_reviews,dizzy,Amazing,Reviewed in India on 4 January 2020,Very nice,5.0 out of 5 stars,Next page→,https://www.amazon.in/Test-Exclusive-747/product-reviews/B07DJCVTDN/ref=cm_cr_arp_d_paging_btm_391?ie=UTF8&filterByStar=five_star&pageNumber=391&reviewerType=all_reviews
1586610915-15541,https://www.amazon.in/Test-Exclusive-747/product-reviews/B07DJCVTDN/ref=?ie=UTF8&filterByStar=one_star&reviewerType=all_reviews,Pankaj Gandhi,Disliked this product,Reviewed in India on 13 December 2019,"#One plus 7T- applications are getting hanged multiple times in a day & have to reboot the device to get that application start. Seems I have wasted lot of money, Amazon is not ready to replace.
Totally disgusting.",1.0 out of 5 stars,Next page→,https://www.amazon.in/Test-Exclusive-747/product-reviews/B07DJCVTDN/ref=cm_cr_arp_d_paging_btm_24?ie=UTF8&filterByStar=one_star&pageNumber=24&reviewerType=all_reviews
1586595649-1161,https://www.amazon.in/Test-Exclusive-606/product-reviews/B07HGJK535/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Aditi,disappointed,Reviewed in India on 23 May 2019,Very disappointed with the product performance and battery life. It's taking more than an hour for full charge in switch off mode and also drains of in just 8 hours. The very new phone started hanging. Is this is what expected from one plus. I need a replace for this phone,2.0 out of 5 stars,Next page→,https://www.amazon.in/Test-Exclusive-606/product-reviews/B07HGJK535/ref=cm_cr_arp_d_paging_btm_6?ie=UTF8&pageNumber=6&reviewerType=all_reviews
1586605711-7678,https://www.amazon.in/Test-Exclusive-606/product-reviews/B07HGJK535/ref=cm_cr_arp_d_viewpnt_rgt?ie=UTF8&reviewerType=all_reviews&filterByStar=critical,siiva,Software problem,Reviewed in India on 24 June 2019,I have 2 time exchange. Wrost mobile company irritating me.,1.0 out of 5 stars,Next page→,https://www.amazon.in/Test-Exclusive-606/product-reviews/B07HGJK535/ref=cm_cr_arp_d_paging_btm_157?ie=UTF8&filterByStar=critical&pageNumber=157&reviewerType=all_reviews
1586622607-27064,https://www.amazon.in/Test-Exclusive-611/product-reviews/B07HGMLBW1/ref=cm_cr_arp_d_show_all?ie=UTF8&reviewerType=all_reviews,DR AFLATOON,Fast phone,Reviewed in India on 2 September 2019,Good fast phone,5.0 out of 5 stars,Next page→,https://www.amazon.in/Test-Exclusive-611/product-reviews/B07HGMLBW1/ref=cm_cr_arp_d_paging_btm_70?ie=UTF8&pageNumber=70&reviewerType=all_reviews
1586625584-32054,https://www.amazon.in/Test-Exclusive-608/product-reviews/B07HGBMJT6/ref=?ie=UTF8&reviewerType=all_reviews&filterByStar=three_star,vinay,I got defective device and pixel is dead on the display,Reviewed in India on 24 June 2019,"The mobile is excellent but I got defective device,there is a dot on the display ,it is very uncomfortable to look at the screen,.I informed to customer care,and they arranged mobile inspection ,he came and inspected the mobile ,he said it is minute problem we can't do anything about it.But I want to replace the Mobile.",3.0 out of 5 stars,Next page→,https://www.amazon.in/Test-Exclusive-608/product-reviews/B07HGBMJT6/ref=cm_cr_arp_d_paging_btm_11?ie=UTF8&filterByStar=three_star&pageNumber=11&reviewerType=all_reviews
1586596077-2629,https://www.amazon.in/Test-Exclusive-606/product-reviews/B07HGJK535/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Santosh Murarikar,Beautiful and Loving,Reviewed in India on 5 February 2020,Really awesome mobile and the display clarity is priceless. A real flagship piece. Only con is screen size and weight other than that everything is beautifully designed,5.0 out of 5 stars,Next page→,https://www.amazon.in/Test-Exclusive-606/product-reviews/B07HGJK535/ref=cm_cr_arp_d_paging_btm_152?ie=UTF8&pageNumber=152&reviewerType=all_reviews
1586609171-12544,https://www.amazon.in/Test-Exclusive-747/product-reviews/B07DJCVTDN/ref=?ie=UTF8&filterByStar=five_star&reviewerType=all_reviews,sunny rahul sharma,Wow,Reviewed in India on 5 January 2020,Wow,5.0 out of 5 stars,Next page→,https://www.amazon.in/Test-Exclusive-747/product-reviews/B07DJCVTDN/ref=cm_cr_arp_d_paging_btm_278?ie=UTF8&filterByStar=five_star&pageNumber=278&reviewerType=all_reviews
1586608423-9818,https://www.amazon.in/Test-Exclusive-747/product-reviews/B07DJCVTDN/ref=?ie=UTF8&filterByStar=five_star&reviewerType=all_reviews,Sahana Vinay,Excellent phone,Reviewed in India on 24 November 2019,I have been using one plus from last 3 years.. no complaint from battery or phone memory.. I switched to other phone week back n then realized the functionality drawbacks of other brand phone compared to one plus... Very minor things in one plus are very much user friendly. It's difficult to switch to other brands after using one plus for me . Just upgraded from one plus 5 to 7T..,5.0 out of 5 stars,Next page→,https://www.amazon.in/Test-Exclusive-747/product-reviews/B07DJCVTDN/ref=cm_cr_arp_d_paging_btm_6?ie=UTF8&filterByStar=five_star&pageNumber=6&reviewerType=all_reviews
1586596825-5507,https://www.amazon.in/Test-Exclusive-606/product-reviews/B07HGJK535/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Amazon Customer,It's precious!!!,Reviewed in India on 27 August 2019,This is nice phone. I have used for 10 days and so far no issue occurred.,5.0 out of 5 stars,Next page→,https://www.amazon.in/Test-Exclusive-606/product-reviews/B07HGJK535/ref=cm_cr_arp_d_paging_btm_440?ie=UTF8&pageNumber=440&reviewerType=all_reviews
