web-scraper-order,web-scraper-start-url,author,title,date,content,rating,next,next-href
1586608853-11339,https://www.amazon.in/Test-Exclusive-747/product-reviews/B07DJCVTDN/ref=?ie=UTF8&filterByStar=five_star&reviewerType=all_reviews,Santhosh,"1.Fingerprint scanner excellent5star,2.camera battery good4star",Reviewed in India on 10 February 2020,"Value for money
Pros.
fingerprint sensor excellent
Looks gorgeous
Cons
Camera night time sum dissatisfied,
battery good....",5.0 out of 5 stars,Next page→,https://www.amazon.in/Test-Exclusive-747/product-reviews/B07DJCVTDN/ref=cm_cr_arp_d_paging_btm_158?ie=UTF8&filterByStar=five_star&pageNumber=158&reviewerType=all_reviews
1586596392-3901,https://www.amazon.in/Test-Exclusive-606/product-reviews/B07HGJK535/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,RAMIZ MAFAT,Excellent product & send proper bill,Reviewed in India on 17 October 2019,"Product, delivery are amazing but I received the bill invoice in torn condition & not clearly visible. So kindly arrange to send the bill invoice through e-mail.",5.0 out of 5 stars,Next page→,https://www.amazon.in/Test-Exclusive-606/product-reviews/B07HGJK535/ref=cm_cr_arp_d_paging_btm_280?ie=UTF8&pageNumber=280&reviewerType=all_reviews
1586614323-19400,https://www.amazon.in/product-reviews/B07HGLBZ5R/ref=?ie=UTF8&filterByStar=four_star&reviewerType=all_reviews,md sarfaraz,"Screen quality, scree size, build quantity , battery",Reviewed in India on 6 June 2019,Camera is not good.,4.0 out of 5 stars,Next page→,https://www.amazon.in/Test-Exclusive-604/product-reviews/B07HGLBZ5R/ref=cm_cr_arp_d_paging_btm_154?ie=UTF8&filterByStar=four_star&pageNumber=154&reviewerType=all_reviews
1586596022-2408,https://www.amazon.in/Test-Exclusive-606/product-reviews/B07HGJK535/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Lokesh k,Good to go...I like the mobile,Reviewed in India on 3 January 2020,"Meet my expectations...
But camera quality has to improve..battery life is good for my usage..for gamers it's not sufficient. Sound speaker quality good..Ctype Jack for earphones is the minus..better to use Bluetooth earpods.",4.0 out of 5 stars,Next page→,https://www.amazon.in/Test-Exclusive-606/product-reviews/B07HGJK535/ref=cm_cr_arp_d_paging_btm_130?ie=UTF8&pageNumber=130&reviewerType=all_reviews
1586609124-12369,https://www.amazon.in/Test-Exclusive-747/product-reviews/B07DJCVTDN/ref=?ie=UTF8&filterByStar=five_star&reviewerType=all_reviews,rakesh,Best overall phone,Reviewed in India on 22 December 2019,Been using this for more than a month now. No heating issues whatsoever even with long ping games,5.0 out of 5 stars,Next page→,https://www.amazon.in/Test-Exclusive-747/product-reviews/B07DJCVTDN/ref=cm_cr_arp_d_paging_btm_261?ie=UTF8&filterByStar=five_star&pageNumber=261&reviewerType=all_reviews
1586615954-23323,https://www.amazon.in/product-reviews/B07HGLBZ5R/ref=?ie=UTF8&filterByStar=five_star&reviewerType=all_reviews,sunil cl,Super phone,Reviewed in India on 30 September 2019,Phone is awesome 👍,5.0 out of 5 stars,Next page→,https://www.amazon.in/Test-Exclusive-604/product-reviews/B07HGLBZ5R/ref=cm_cr_arp_d_paging_btm_359?ie=UTF8&filterByStar=five_star&pageNumber=359&reviewerType=all_reviews
1586596337-3671,https://www.amazon.in/Test-Exclusive-606/product-reviews/B07HGJK535/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Abhishek,Beast phone,Reviewed in India on 2 June 2019,"Great phone but little overpriced......
Buy it only if u have extra money or u can go with k20pro always
Don't get warm at gaming .
Edited- it gets hot while gaming more than 20mins.",4.0 out of 5 stars,Next page→,https://www.amazon.in/Test-Exclusive-606/product-reviews/B07HGJK535/ref=cm_cr_arp_d_paging_btm_257?ie=UTF8&pageNumber=257&reviewerType=all_reviews
1586614292-19299,https://www.amazon.in/product-reviews/B07HGLBZ5R/ref=?ie=UTF8&filterByStar=four_star&reviewerType=all_reviews,Garv Chandel,Great,Reviewed in India on 1 June 2019,It’s good from expectation,4.0 out of 5 stars,Next page→,https://www.amazon.in/Test-Exclusive-604/product-reviews/B07HGLBZ5R/ref=cm_cr_arp_d_paging_btm_144?ie=UTF8&filterByStar=four_star&pageNumber=144&reviewerType=all_reviews
1586615755-22806,https://www.amazon.in/product-reviews/B07HGLBZ5R/ref=?ie=UTF8&filterByStar=five_star&reviewerType=all_reviews,manas,Awesome,Reviewed in India on 29 May 2019,Awesome,5.0 out of 5 stars,Next page→,https://www.amazon.in/Test-Exclusive-604/product-reviews/B07HGLBZ5R/ref=cm_cr_arp_d_paging_btm_308?ie=UTF8&filterByStar=five_star&pageNumber=308&reviewerType=all_reviews
1586623804-29231,https://www.amazon.in/Test-Exclusive-611/product-reviews/B07HGMLBW1/ref=cm_cr_arp_d_show_all?ie=UTF8&reviewerType=all_reviews,vinodkumar v.v,not happy with this product,Reviewed in India on 26 September 2019,not happy with this product,1.0 out of 5 stars,Next page→,https://www.amazon.in/Test-Exclusive-611/product-reviews/B07HGMLBW1/ref=cm_cr_arp_d_paging_btm_287?ie=UTF8&pageNumber=287&reviewerType=all_reviews
