web-scraper-order,web-scraper-start-url,author,title,date,content,rating,next,next-href
1586609272-12942,https://www.amazon.in/Test-Exclusive-747/product-reviews/B07DJCVTDN/ref=?ie=UTF8&filterByStar=five_star&reviewerType=all_reviews,Amogh Churi,True flagship phone by OnePlus,Reviewed in India on 9 December 2019,"Camera, battery life overall performance is very good.",5.0 out of 5 stars,Next page→,https://www.amazon.in/Test-Exclusive-747/product-reviews/B07DJCVTDN/ref=cm_cr_arp_d_paging_btm_318?ie=UTF8&filterByStar=five_star&pageNumber=318&reviewerType=all_reviews
1586625370-31772,https://www.amazon.in/Test-Exclusive-608/product-reviews/B07HGBMJT6/ref=?ie=UTF8&reviewerType=all_reviews&filterByStar=two_star,Amazon Customer,Camera is weast,Reviewed in India on 13 October 2019,Worst camera. Duplicate camera weast of money,2.0 out of 5 stars,Next page→,https://www.amazon.in/Test-Exclusive-608/product-reviews/B07HGBMJT6/ref=cm_cr_arp_d_paging_btm_15?ie=UTF8&filterByStar=two_star&pageNumber=15&reviewerType=all_reviews
1586608856-11346,https://www.amazon.in/Test-Exclusive-747/product-reviews/B07DJCVTDN/ref=?ie=UTF8&filterByStar=five_star&reviewerType=all_reviews,mandar,BEST FROM ONEPLUS...,Reviewed in India on 14 October 2019,"Best in class mobile with gr8 looks , very good camera quality n gr8 battery life on top of android 10 with oxygen os...!!! Incredible value...",5.0 out of 5 stars,Next page→,https://www.amazon.in/Test-Exclusive-747/product-reviews/B07DJCVTDN/ref=cm_cr_arp_d_paging_btm_159?ie=UTF8&filterByStar=five_star&pageNumber=159&reviewerType=all_reviews
1586608420-9810,https://www.amazon.in/Test-Exclusive-747/product-reviews/B07DJCVTDN/ref=?ie=UTF8&filterByStar=five_star&reviewerType=all_reviews,vivek,Expected nothing less from OnePlus! 💙,Reviewed in India on 4 October 2019,"Pros:
- Display is fabulous!
- Speakers are extremely loud and audio quality is amazing!
- Cameras take great pictures! Much better than I expected at this price point.
- Performance: SD855+ and 8 GB RAM. Obviously it has blazing fast performance!
- Warp Charge 30T

Cons:
- Battery life could've been better, but Warp Charge 30T makes up for it for me at least.
- No headphone jack. Welcome to 2019! :(

Note: I was going through some of the other reviews written by people. Some people are giving less stars because they didn't receive the ""big box"" which they saw on YouTube which is stupid because that was a review unit packaging sent to reviewers by OnePlus 8-10 days prior to the launch. Obviously we don't get all of those things. Also, someone wrote that we get a Warp Charge 30 charger, not 30T inside the box. I'd like to clarify that both charge at 30W, the difference is just in the way they charge. We're getting 30T charger in the box, don't worry.",5.0 out of 5 stars,Next page→,https://www.amazon.in/Test-Exclusive-747/product-reviews/B07DJCVTDN/ref=cm_cr_arp_d_paging_btm_5?ie=UTF8&filterByStar=five_star&pageNumber=5&reviewerType=all_reviews
1586622675-27310,https://www.amazon.in/Test-Exclusive-611/product-reviews/B07HGMLBW1/ref=cm_cr_arp_d_show_all?ie=UTF8&reviewerType=all_reviews,Vimal kumar,Don't believe you tube reviewers,Reviewed in India on 20 July 2019,"Battery life very poor, heating issue, only after one day use ,  disappointed by this purchase, how to replace this boogas phone",1.0 out of 5 stars,Next page→,https://www.amazon.in/Test-Exclusive-611/product-reviews/B07HGMLBW1/ref=cm_cr_arp_d_paging_btm_95?ie=UTF8&pageNumber=95&reviewerType=all_reviews
1586607641-8487,https://www.amazon.in/Test-Exclusive-747/product-reviews/B07DJCVTDN/ref=?ie=UTF8&filterByStar=four_star&reviewerType=all_reviews,T HARISH,Ok,Reviewed in India on 2 March 2020,Fingerprint was ok.... battery lifee was slightly disappointed....camera also disappointed,4.0 out of 5 stars,Next page→,https://www.amazon.in/Test-Exclusive-747/product-reviews/B07DJCVTDN/ref=cm_cr_arp_d_paging_btm_75?ie=UTF8&filterByStar=four_star&pageNumber=75&reviewerType=all_reviews
1586596111-2764,https://www.amazon.in/Test-Exclusive-606/product-reviews/B07HGJK535/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Bablu Dhama,Nice phone but not price good,Reviewed in India on 2 June 2019,As compare to price phone does not have feature front camera in low light not good battery drain rapidly as compare to honor view 20,4.0 out of 5 stars,Next page→,https://www.amazon.in/Test-Exclusive-606/product-reviews/B07HGJK535/ref=cm_cr_arp_d_paging_btm_166?ie=UTF8&pageNumber=166&reviewerType=all_reviews
1586609164-12513,https://www.amazon.in/Test-Exclusive-747/product-reviews/B07DJCVTDN/ref=?ie=UTF8&filterByStar=five_star&reviewerType=all_reviews,Lalit,Great product but accessories costly,Reviewed in India on 30 January 2020,First time using OnePlus awesome experience premium quality like a apple iphone.,5.0 out of 5 stars,Next page→,https://www.amazon.in/Test-Exclusive-747/product-reviews/B07DJCVTDN/ref=cm_cr_arp_d_paging_btm_275?ie=UTF8&filterByStar=five_star&pageNumber=275&reviewerType=all_reviews
1586624171-30519,https://www.amazon.in/Test-Exclusive-608/product-reviews/B07HGBMJT6/ref=?ie=UTF8&reviewerType=all_reviews&filterByStar=one_star,Namit,Technical problem,Reviewed in India on 1 July 2019,This phone have so much technical problem even service center can't solve problem,1.0 out of 5 stars,Next page→,https://www.amazon.in/Test-Exclusive-608/product-reviews/B07HGBMJT6/ref=cm_cr_arp_d_paging_btm_32?ie=UTF8&filterByStar=one_star&pageNumber=32&reviewerType=all_reviews
1586624244-30894,https://www.amazon.in/Test-Exclusive-608/product-reviews/B07HGBMJT6/ref=?ie=UTF8&reviewerType=all_reviews&filterByStar=one_star,Devendra,DEFECTIVE ONE PLUS SEVEN DISPLAY,Reviewed in India on 9 August 2019,"On unboxing the phone, the display of cell phone was not working. Received defective cell phone",1.0 out of 5 stars,Next page→,https://www.amazon.in/Test-Exclusive-608/product-reviews/B07HGBMJT6/ref=cm_cr_arp_d_paging_btm_50?ie=UTF8&filterByStar=one_star&pageNumber=50&reviewerType=all_reviews
