web-scraper-order,web-scraper-start-url,author,title,date,content,rating,next,next-href
1586609468-13602,https://www.amazon.in/Test-Exclusive-747/product-reviews/B07DJCVTDN/ref=?ie=UTF8&filterByStar=five_star&reviewerType=all_reviews,chiyyaan Sridhar,Good,Reviewed in India on 31 October 2019,Good,5.0 out of 5 stars,Next page→,https://www.amazon.in/Test-Exclusive-747/product-reviews/B07DJCVTDN/ref=cm_cr_arp_d_paging_btm_384?ie=UTF8&filterByStar=five_star&pageNumber=384&reviewerType=all_reviews
1586609221-12744,https://www.amazon.in/Test-Exclusive-747/product-reviews/B07DJCVTDN/ref=?ie=UTF8&filterByStar=five_star&reviewerType=all_reviews,It is not working hopeless prodz5,Good,Reviewed in India on 5 March 2020,Battery life still to be better,5.0 out of 5 stars,Next page→,https://www.amazon.in/Test-Exclusive-747/product-reviews/B07DJCVTDN/ref=cm_cr_arp_d_paging_btm_298?ie=UTF8&filterByStar=five_star&pageNumber=298&reviewerType=all_reviews
1586625389-31831,https://www.amazon.in/Test-Exclusive-608/product-reviews/B07HGBMJT6/ref=?ie=UTF8&reviewerType=all_reviews&filterByStar=two_star,Amazon Customer,"Phone hangs , battery overheats ..",Reviewed in India on 13 October 2019,"Phone gets hang. Also, overheating of battery while charging.",2.0 out of 5 stars,Next page→,https://www.amazon.in/Test-Exclusive-608/product-reviews/B07HGBMJT6/ref=cm_cr_arp_d_paging_btm_21?ie=UTF8&filterByStar=two_star&pageNumber=21&reviewerType=all_reviews
1586611002-15902,https://www.amazon.in/Test-Exclusive-747/product-reviews/B07DJCVTDN/ref=?ie=UTF8&filterByStar=one_star&reviewerType=all_reviews,Amazon Customer,Bad,Reviewed in India on 27 October 2019,Very bad,1.0 out of 5 stars,Next page→,https://www.amazon.in/Test-Exclusive-747/product-reviews/B07DJCVTDN/ref=cm_cr_arp_d_paging_btm_60?ie=UTF8&filterByStar=one_star&pageNumber=60&reviewerType=all_reviews
1586622721-27478,https://www.amazon.in/Test-Exclusive-611/product-reviews/B07HGMLBW1/ref=cm_cr_arp_d_show_all?ie=UTF8&reviewerType=all_reviews,Avitesh,I am very happy purchase this phone,Reviewed in India on 25 July 2019,Best in class......my third oneplus phone....6...6t...now oneplus7....,5.0 out of 5 stars,Next page→,https://www.amazon.in/Test-Exclusive-611/product-reviews/B07HGMLBW1/ref=cm_cr_arp_d_paging_btm_112?ie=UTF8&pageNumber=112&reviewerType=all_reviews
1586625698-32547,https://www.amazon.in/Test-Exclusive-608/product-reviews/B07HGBMJT6/ref=?ie=UTF8&reviewerType=all_reviews&filterByStar=three_star,Mohammed,Good product but not upto the mark,Reviewed in India on 18 September 2019,Good product,3.0 out of 5 stars,Next page→,https://www.amazon.in/Test-Exclusive-608/product-reviews/B07HGBMJT6/ref=cm_cr_arp_d_paging_btm_60?ie=UTF8&filterByStar=three_star&pageNumber=60&reviewerType=all_reviews
1586625642-32297,https://www.amazon.in/Test-Exclusive-608/product-reviews/B07HGBMJT6/ref=?ie=UTF8&reviewerType=all_reviews&filterByStar=three_star,Roopsingh thakur,West many,Reviewed in India on 23 December 2019,7t good mobile aeprox 7,3.0 out of 5 stars,Next page→,https://www.amazon.in/Test-Exclusive-608/product-reviews/B07HGBMJT6/ref=cm_cr_arp_d_paging_btm_35?ie=UTF8&filterByStar=three_star&pageNumber=35&reviewerType=all_reviews
1586609318-13128,https://www.amazon.in/Test-Exclusive-747/product-reviews/B07DJCVTDN/ref=?ie=UTF8&filterByStar=five_star&reviewerType=all_reviews,sairam,Smartphone of the future,Reviewed in India on 20 December 2019,"Best smartphone of the year 2019
  -IGN..",5.0 out of 5 stars,Next page→,https://www.amazon.in/Test-Exclusive-747/product-reviews/B07DJCVTDN/ref=cm_cr_arp_d_paging_btm_337?ie=UTF8&filterByStar=five_star&pageNumber=337&reviewerType=all_reviews
1586608437-9876,https://www.amazon.in/Test-Exclusive-747/product-reviews/B07DJCVTDN/ref=?ie=UTF8&filterByStar=five_star&reviewerType=all_reviews,Amit Ojha,A VFM product that goes beyond,Reviewed in India on 21 January 2020,"I have received the package with all the security and pin number and parcel code as though it was delivered by the IB. Then realized that people have been sent soap and marbles in such packaging in the past that Amazon had to secure it from the middlemen who sneak it through.
The 7T is a powerhouse and yet it saves a lot of power to push you through the day. All in all, the phone is excellent with a lot of tinkering options available for you to play with this handful of tech marble(not marvel). But the irony is not lost on the fact that I have clicked the attached pics with one of the better camera phones (Honor 8 pro) for the review. Will update with the pics clicked by 7T soon. Thanks to Amazon for the timely delivery and Thanks OP for maintaining the quality and challenging the status quo.
Never Settle OP.",5.0 out of 5 stars,Next page→,https://www.amazon.in/Test-Exclusive-747/product-reviews/B07DJCVTDN/ref=cm_cr_arp_d_paging_btm_12?ie=UTF8&filterByStar=five_star&pageNumber=12&reviewerType=all_reviews
1586605631-7396,https://www.amazon.in/Test-Exclusive-606/product-reviews/B07HGJK535/ref=cm_cr_arp_d_viewpnt_rgt?ie=UTF8&reviewerType=all_reviews&filterByStar=critical,HARI,It is hanging,Reviewed in India on 3 June 2019,It is hanging,3.0 out of 5 stars,Next page→,https://www.amazon.in/Test-Exclusive-606/product-reviews/B07HGJK535/ref=cm_cr_arp_d_paging_btm_129?ie=UTF8&filterByStar=critical&pageNumber=129&reviewerType=all_reviews
1586608898-11502,https://www.amazon.in/Test-Exclusive-747/product-reviews/B07DJCVTDN/ref=?ie=UTF8&filterByStar=five_star&reviewerType=all_reviews,Ravi Rangunwala,Excellent,Reviewed in India on 20 February 2020,Best phone,5.0 out of 5 stars,Next page→,https://www.amazon.in/Test-Exclusive-747/product-reviews/B07DJCVTDN/ref=cm_cr_arp_d_paging_btm_174?ie=UTF8&filterByStar=five_star&pageNumber=174&reviewerType=all_reviews
1586607767-8928,https://www.amazon.in/Test-Exclusive-747/product-reviews/B07DJCVTDN/ref=?ie=UTF8&filterByStar=four_star&reviewerType=all_reviews,Parv,One plus 7t merit or demerit,Reviewed in India on 10 December 2019,Its battery is bad and everything else is good,4.0 out of 5 stars,Next page→,https://www.amazon.in/Test-Exclusive-747/product-reviews/B07DJCVTDN/ref=cm_cr_arp_d_paging_btm_119?ie=UTF8&filterByStar=four_star&pageNumber=119&reviewerType=all_reviews
1586607590-8297,https://www.amazon.in/Test-Exclusive-747/product-reviews/B07DJCVTDN/ref=?ie=UTF8&filterByStar=four_star&reviewerType=all_reviews,SHIBU,Sony C400 bluetooth not shown in paired list what should i do help me?,Reviewed in India on 11 February 2020,"Which Bluetooth headphone recommended for one plus7T like sony C400 ,its not shown in paired list ,please help me what i do.",4.0 out of 5 stars,Next page→,https://www.amazon.in/Test-Exclusive-747/product-reviews/B07DJCVTDN/ref=cm_cr_arp_d_paging_btm_56?ie=UTF8&filterByStar=four_star&pageNumber=56&reviewerType=all_reviews
1586609527-13831,https://www.amazon.in/Test-Exclusive-747/product-reviews/B07DJCVTDN/ref=?ie=UTF8&filterByStar=five_star&reviewerType=all_reviews,Rahul,Phone speed,Reviewed in India on 23 March 2020,Fast phone that will reach your expectations,5.0 out of 5 stars,Next page→,https://www.amazon.in/Test-Exclusive-747/product-reviews/B07DJCVTDN/ref=cm_cr_arp_d_paging_btm_407?ie=UTF8&filterByStar=five_star&pageNumber=407&reviewerType=all_reviews
1586616208-24409,https://www.amazon.in/product-reviews/B07HGLBZ5R/ref=?ie=UTF8&filterByStar=five_star&reviewerType=all_reviews,n.prudhvi krishna,Very good,Reviewed in India on 18 October 2019,Very good,5.0 out of 5 stars,Next page→,https://www.amazon.in/Test-Exclusive-604/product-reviews/B07HGLBZ5R/ref=cm_cr_arp_d_paging_btm_468?ie=UTF8&filterByStar=five_star&pageNumber=468&reviewerType=all_reviews
1586595820-1761,https://www.amazon.in/Test-Exclusive-606/product-reviews/B07HGJK535/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Kalaiselvam Kalaiyarasan,Value for money,Reviewed in India on 29 May 2019,Good flagship at affordable price,5.0 out of 5 stars,Next page→,https://www.amazon.in/Test-Exclusive-606/product-reviews/B07HGJK535/ref=cm_cr_arp_d_paging_btm_66?ie=UTF8&pageNumber=66&reviewerType=all_reviews
1586595929-2091,https://www.amazon.in/Test-Exclusive-606/product-reviews/B07HGJK535/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Amazon Customer,THE BEAST,Reviewed in India on 14 August 2019,"bought this on the very first day of launch
almond color looks beautiful in hands😍😍
great phone
its the beast
if you want the best display and best performance go for it.. you won't regret guys..
customized it with gadgetshieldz special edition.",5.0 out of 5 stars,Next page→,https://www.amazon.in/Test-Exclusive-606/product-reviews/B07HGJK535/ref=cm_cr_arp_d_paging_btm_99?ie=UTF8&pageNumber=99&reviewerType=all_reviews
1586608865-11387,https://www.amazon.in/Test-Exclusive-747/product-reviews/B07DJCVTDN/ref=?ie=UTF8&filterByStar=five_star&reviewerType=all_reviews,Raghavendra,OnePlus for a reason,Reviewed in India on 6 October 2019,"Good mobile from oneplus, using it from past 3days and the 90hz is fabulous. The display is good, smooth and fantastic",5.0 out of 5 stars,Next page→,https://www.amazon.in/Test-Exclusive-747/product-reviews/B07DJCVTDN/ref=cm_cr_arp_d_paging_btm_163?ie=UTF8&filterByStar=five_star&pageNumber=163&reviewerType=all_reviews
1586596738-5133,https://www.amazon.in/Test-Exclusive-606/product-reviews/B07HGJK535/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Katariya,Camera quality is not as expected,Reviewed in India on 15 January 2020,Camera quality not as expected even not like iPhone 11.,4.0 out of 5 stars,Next page→,https://www.amazon.in/Test-Exclusive-606/product-reviews/B07HGJK535/ref=cm_cr_arp_d_paging_btm_403?ie=UTF8&pageNumber=403&reviewerType=all_reviews
1586622602-27039,https://www.amazon.in/Test-Exclusive-611/product-reviews/B07HGMLBW1/ref=cm_cr_arp_d_show_all?ie=UTF8&reviewerType=all_reviews,Chirag Parmar,Headphone?,Reviewed in India on 19 July 2019,"After spending Rs 33000, they still not providing hands free or headphone 🥵😡😠

Not acceptable brand like One Plus😔",5.0 out of 5 stars,Next page→,https://www.amazon.in/Test-Exclusive-611/product-reviews/B07HGMLBW1/ref=cm_cr_arp_d_paging_btm_68?ie=UTF8&pageNumber=68&reviewerType=all_reviews
1586614246-19167,https://www.amazon.in/product-reviews/B07HGLBZ5R/ref=?ie=UTF8&filterByStar=four_star&reviewerType=all_reviews,M.VINODKUMAR,Good,Reviewed in India on 2 August 2019,Nice,4.0 out of 5 stars,Next page→,https://www.amazon.in/Test-Exclusive-604/product-reviews/B07HGLBZ5R/ref=cm_cr_arp_d_paging_btm_131?ie=UTF8&filterByStar=four_star&pageNumber=131&reviewerType=all_reviews
